id,year,hyde_park,black_belt,north_kenwood,north_woodlawn,south_kenwood,south_shore,south_woodlawn,other
1,1902,41,52,0,9,3,0,10,21
2,1903,235,101,3,71,4,1,37,71
3,1904,95,42,0,40,1,0,8,22
4,1905,197,61,2,38,3,0,8,2
5,1906,130,17,1,16,0,0,4,64
6,1907,83,37,0,31,0,1,7,3
7,1908,63,75,7,37,7,0,8,24
8,1909,137,68,0,74,1,0,14,0
9,1910,180,25,4,104,3,0,48,6
10,1911,105,15,1,63,0,0,38,18
11,1912,132,18,1,82,1,0,7,9
12,1913,154,40,3,44,13,23,3,0
13,1914,259,5,7,99,11,2,40,1
14,1915,300,25,4,98,3,1,24,1
15,1916,289,2,0,102,2,6,30,3
16,1917,327,12,3,167,8,0,59,2
17,1918,194,31,4,84,13,3,27,3
18,1919,222,23,0,72,12,1,35,2
19,1920,109,0,0,13,12,1,7,4
20,1921,113,13,5,36,1,0,4,12
21,1922,245,51,1,27,6,1,32,1
22,1923,300,4,5,54,20,1,51,1
23,1924,312,34,8,54,7,11,7,2
24,1925,454,20,6,140,10,4,29,18
25,1926,617,23,5,177,54,9,72,4
26,1927,871,38,20,158,54,48,116,21
27,1928,590,11,1,65,19,23,82,6
28,1929,390,46,9,72,16,15,89,23
29,1930,234,24,0,80,25,15,98,8
30,1931,386,25,1,55,48,27,104,2
31,1932,371,53,6,64,24,10,155,8
32,1933,423,73,4,40,13,13,81,1
33,1934,259,35,1,46,24,19,111,2
34,1935,343,60,4,103,41,41,129,4
35,1936,304,39,0,32,12,4,65,0
36,1937,243,17,1,51,3,9,85,12
37,1938,248,10,2,109,1,17,58,3
38,1939,231,42,2,67,4,32,109,6
39,1940,231,44,0,55,1,10,96,9
40,1941,179,9,0,22,0,6,107,0
41,1942,124,1,0,6,3,6,33,1
42,1943,48,2,0,9,1,0,6,1
43,1944,95,1,0,15,4,6,17,0
44,1945,89,2,0,6,0,9,12,0
45,1946,148,5,0,7,11,0,8,2
46,1947,159,5,0,25,6,0,15,0
47,1948,277,9,2,55,10,3,29,3
48,1949,225,4,0,38,4,3,14,3
49,1950,253,7,6,38,1,3,24,3
50,1951,331,15,3,76,11,4,27,8
51,1952,151,3,0,27,4,0,16,4
52,1953,280,12,1,17,3,2,4,11
53,1954,317,18,0,44,3,2,16,1
54,1955,430,2,0,24,28,9,19,7
55,1956,477,6,3,29,13,13,30,6
56,1957,416,7,2,20,29,12,13,17
57,1958,433,5,1,41,33,7,15,15
58,1959,580,5,7,39,20,52,1,22
59,1960,351,14,3,31,10,43,1,22
60,1961,304,13,1,22,35,50,2,7
61,1962,464,26,3,47,18,45,9,9
62,1963,522,10,3,49,13,60,2,15
63,1964,477,18,9,49,10,36,7,27
64,1965,525,34,10,43,6,13,6,24
65,1966,490,11,3,49,17,24,6,13
66,1967,352,21,9,42,15,39,3,28
67,1968,484,40,3,36,15,103,4,17
68,1969,565,17,4,39,15,95,2,18
69,1970,602,11,4,25,31,74,1,30
70,1971,535,23,5,34,54,66,2,13
71,1973,730,20,0,68,64,70,2,34
72,1974,258,8,1,30,25,16,3,26
73,1975,667,23,5,32,63,55,5,70
74,1976,520,11,8,26,36,60,1,62
75,1977,469,18,20,31,33,103,4,39
76,1978,428,5,5,18,51,34,8,39
77,1979,390,14,6,12,54,13,2,29
78,1980,396,30,1,21,42,4,2,34
79,1981,498,27,0,18,37,3,1,19
80,1982,836,27,0,20,61,8,3,1
81,1983,582,18,0,32,53,12,1,4
82,1984,478,15,0,10,70,6,0,8
83,1985,451,28,0,17,71,23,1,1
84,1986,662,13,0,49,94,42,7,2
,,0.684814512,0.046287831,0.005990473,0.099047298,0.039864312,0.038059953,0.059616032,0.026319588
,,1.460249429,21.6039501,166.9317269,10.09618654,25.08509354,26.27433628,16.7740113,37.99451554
,,41566,,,,,,,